feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1055884317508049,0.6354357600212097,0.5527402402402402,0.5621400711896534,0.5443881381381381,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1055884317508049,0.6354357600212097,0.5527402402402402,0.5621400711896534,0.5443881381381381,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.0506568604168673,0.6275140643119812,0.5253534303534304,0.5126085749259829,0.4991995841995842,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1055884317508049,0.6354357600212097,0.5527402402402402,0.5621400711896534,0.5443881381381381,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.0506568604168673,0.6275140643119812,0.5253534303534304,0.5126085749259829,0.4991995841995842,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,3,0.0410089175468888,0.4184170365333557,0.5049010455563854,0.5012766513111895,0.4985374657704755,7
