feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,all,11,40,64,32,0.1,0.0005,GRU,1,0.037736974282010324,0.144287109375,0.5013698630136987,0.5084621496352794,0.48882205688060637,16
v2,all,11,40,64,32,0.1,0.0005,GRU,2,0.04190477260087642,0.1019287109375,0.5045414050863737,0.5166699083324837,0.492531911635741,30
v2,all,11,40,64,32,0.1,0.0005,GRU,3,0.03734087733559838,0.248046875,0.5013550135501355,0.48214045753778334,0.4567090542700299,8
v2,all,11,40,64,32,0.1,0.0005,GRU,4,0.051132331961706474,0.300048828125,0.5041380029184908,0.48798213267485635,0.4632652352164547,8
