feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1407960214158358,0.8307346105575562,0.5284271284271284,0.4659759677792484,0.4502164502164502,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1407960214158358,0.8307346105575562,0.5284271284271284,0.4659759677792484,0.4502164502164502,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.1125128477534131,0.4861578047275543,0.5126050420168067,0.5014487478920855,0.4667815844286432,8
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1407960214158358,0.8307346105575562,0.5284271284271284,0.4659759677792484,0.4502164502164502,7
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.1125128477534131,0.4861578047275543,0.5126050420168067,0.5014487478920855,0.4667815844286432,8
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,3,0.1015102822729852,0.3471078276634216,0.5093457943925234,0.5723204132158255,0.5185829167572267,25
