feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1204482208296168,0.531435489654541,0.5599561126686139,0.5838538081609885,0.5672547666925979,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1204482208296168,0.531435489654541,0.5599561126686139,0.5838538081609885,0.5672547666925979,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.0960775129789977,0.6409112215042114,0.5204393505253104,0.5516220658097226,0.5107119241789729,24
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1204482208296168,0.531435489654541,0.5599561126686139,0.5838538081609885,0.5672547666925979,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.0960775129789977,0.6409112215042114,0.5204393505253104,0.5516220658097226,0.5107119241789729,24
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,3,0.1192493172276985,0.4820760786533355,0.5273090455944877,0.5320941109664533,0.4978962029028001,22
