model,roundtrip_bps,trades,exposure,turnover,CAGR,Sharpe,MaxDD,final_equity
Entry@t+1 (No-Overlap),5.0,91,0.4527363184079602,182.0,-0.16661242677261168,-0.8949749143047313,-0.29482735518201064,0.8647012280158591
Entry@t+1 (No-Overlap),10.0,91,0.4527363184079602,182.0,-0.2128481230797612,-1.1751139299158055,-0.30411456917792534,0.8262173449103639
Entry@t+1 (No-Overlap),15.0,91,0.4527363184079602,182.0,-0.256529316524837,-1.455207789597525,-0.3156221589824083,0.7894372103350443
Entry@t+1 (No-Overlap),25.0,91,0.4527363184079602,182.0,-0.3367826874034101,-2.0151502817279767,-0.34347530869379006,0.7206913549511216
Entry@t+1 (No-Overlap),50.0,91,0.4527363184079602,182.0,-0.5016584327256184,-3.4123001936578303,-0.4542673592124681,0.5737753208688446
Entry@t+1 (No-Overlap),100.0,91,0.4527363184079602,182.0,-0.7189379527259253,-6.18356367519619,-0.6464892803738344,0.36337424296529297
