feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1204482208296168,0.5314356088638306,0.5599561126686139,0.5838538081609885,0.5672547666925979,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1204482208296168,0.5314356088638306,0.5599561126686139,0.5838538081609885,0.5672547666925979,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.094716500444779,0.6355088949203491,0.5193079127176549,0.5510923552245617,0.5087282345162001,23
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1204482208296168,0.5314356088638306,0.5599561126686139,0.5838538081609885,0.5672547666925979,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.094716500444779,0.6355088949203491,0.5193079127176549,0.5510923552245617,0.5087282345162001,23
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,3,0.1122247560659781,0.482165515422821,0.5259932561208034,0.5327574437093199,0.497192493769242,22
