feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,all,11,40,32,16,0.0,0.0005,GRU,1,0.08141101951540866,0.3358388841152191,0.5083200055628955,0.5168284890848593,0.5051734928030039,14
v2,all,11,40,32,16,0.0,0.0005,GRU,2,0.053970320010052135,0.265980064868927,0.502770083102493,0.506586936018816,0.4783056557023344,21
v2,all,11,40,32,16,0.0,0.0005,GRU,3,0.08334570022019867,0.27912747859954834,0.5139879091098604,0.512338802381187,0.49854770342575216,18
v2,all,11,40,32,16,0.0,0.0005,GRU,4,0.05178632250239904,0.7442499399185181,0.5061913696060037,0.5094580854487525,0.4871099993051212,7
v2,all,11,40,32,16,0.0,0.0005,GRU,5,0.06634689459486369,0.28148511052131653,0.5109013754755634,0.5281938174402919,0.4931713979123987,13
v2,all,11,40,32,16,0.0,0.0005,LSTM,1,0.09387725065055967,0.412993460893631,0.5237327028718448,0.5211912300756041,0.5076003059592518,11
v2,all,11,40,32,16,0.0,0.0005,LSTM,2,0.07149398071693158,0.5939925909042358,0.5352524394827323,0.5403811875340585,0.5225225852252955,29
v2,all,11,40,32,16,0.0,0.0005,LSTM,3,0.07521393977519124,0.2640113830566406,0.5157806962685011,0.5000837374991438,0.4813494545201862,11
v2,all,11,40,32,16,0.0,0.0005,LSTM,4,0.07839862611694759,0.37944933772087097,0.5205023973316656,0.48654979531247633,0.47207282329233546,7
v2,all,11,40,32,16,0.0,0.0005,LSTM,5,0.06812602404658578,0.7111905813217163,0.5204858062628036,0.5414871462169233,0.4926906085817412,11
v2,all,11,40,32,16,0.1,0.0005,GRU,1,0.056139944289535955,0.625638484954834,0.504975314651276,0.5227796008450551,0.4880189138446561,9
v2,all,11,40,32,16,0.1,0.0005,GRU,2,0.052509927728033805,0.4110923707485199,0.5118842133103189,0.5035544513312311,0.47500661200740546,10
v2,all,11,40,32,16,0.1,0.0005,GRU,3,0.046959879804529245,0.731155276298523,0.5114342297269127,0.4941048903554211,0.46412341046487376,8
v2,all,11,40,32,16,0.1,0.0005,GRU,4,0.05284284341966789,0.28369414806365967,0.502710027100271,0.49967697768579794,0.48799944409700513,13
v2,all,11,40,32,16,0.1,0.0005,GRU,5,0.06055650749725556,0.3396565318107605,0.5138697269952758,0.5245781925054056,0.487701548281004,13
v2,all,11,40,32,16,0.1,0.0005,LSTM,1,0.03743292823529818,0.7341631650924683,0.5046728322091649,0.504125186972534,0.47996662262707745,13
v2,all,11,40,32,16,0.1,0.0005,LSTM,2,0.046629468815209116,0.662502646446228,0.504767605339718,0.5290145520860554,0.5019627221982488,17
v2,all,11,40,32,16,0.1,0.0005,LSTM,3,0.07080067519990257,0.6060092449188232,0.5051282051282051,0.5199469923125186,0.4955875199777639,10
v2,all,11,40,32,16,0.1,0.0005,LSTM,4,0.05706165891273545,0.7090859413146973,0.5050552428601209,0.506644295321653,0.4845250503787089,9
v2,all,11,40,32,16,0.1,0.0005,LSTM,5,0.06679916410475546,0.6679742336273193,0.5211024708390819,0.548654751679654,0.5136850760204579,42
v2,all,11,40,32,16,0.2,0.0005,GRU,1,0.0349593797282583,0.7742478847503662,0.501269035532995,0.5086819204994553,0.48672554064390516,20
v2,all,11,40,32,16,0.2,0.0005,GRU,2,0.03459214256182571,0.8650030493736267,0.5012562814070352,0.5026886622895637,0.4760297331533011,34
v2,all,11,40,32,16,0.2,0.0005,GRU,3,0.046586558102105484,0.6545913219451904,0.508317698561601,0.515833363447356,0.48446251129177953,9
v2,all,11,40,32,16,0.2,0.0005,GRU,4,0.07080067519990257,0.7340483069419861,0.5051282051282051,0.5080297452643727,0.4876311583628657,9
v2,all,11,40,32,16,0.2,0.0005,GRU,5,0.06140801990806212,0.6413072347640991,0.5156779129562272,0.5391206005837659,0.5024875621890548,26
v2,all,11,40,32,16,0.2,0.0005,LSTM,1,0.04002669369572898,0.5596186518669128,0.5200229469438843,0.5042432070745297,0.4948682289131493,17
v2,all,11,40,32,16,0.2,0.0005,LSTM,2,0.046629468815209116,0.8162227272987366,0.504767605339718,0.4907009421477468,0.4638984395662523,10
v2,all,11,40,32,16,0.2,0.0005,LSTM,3,0.07080067519990257,0.7898743152618408,0.5051282051282051,0.5141028191554912,0.4952122854561879,26
v2,all,11,40,32,16,0.2,0.0005,LSTM,4,0.07080067519990257,0.7485352158546448,0.5051282051282051,0.5151368760199746,0.5015426308109235,9
v2,all,11,40,32,16,0.2,0.0005,LSTM,5,0.07052056953621394,0.6434963941574097,0.5215728082277687,0.5379870307349789,0.48728347060217125,23
v2,all,11,40,32,16,0.0,0.0003,GRU,1,0.08460596979310679,0.27381348609924316,0.5068493150684932,0.5181582217636819,0.49747583617272795,29
v2,all,11,40,32,16,0.0,0.0003,GRU,2,0.03459214256182571,0.6058127284049988,0.5012562814070352,0.5191876310213221,0.493033032196996,27
v2,all,11,40,32,16,0.0,0.0003,GRU,3,0.05816067016712048,0.7303224802017212,0.5086095476339378,0.5103977533674897,0.5012090890139671,31
v2,all,11,40,32,16,0.0,0.0003,GRU,4,0.051967166308021666,0.35075584053993225,0.5187721492599542,0.48656798699458953,0.47757626294211664,14
v2,all,11,40,32,16,0.0,0.0003,GRU,5,0.06923771534524172,0.3762539327144623,0.5126154939587776,0.5270411455270594,0.4903772454255334,23
v2,all,11,40,32,16,0.0,0.0003,LSTM,1,0.04769671933163516,0.8505996465682983,0.5048744871705723,0.49508276174688204,0.4648564077602393,17
v2,all,11,40,32,16,0.0,0.0003,LSTM,2,0.04895297870258498,0.7784390449523926,0.5025125628140703,0.5036144257214472,0.4635921992232631,26
v2,all,11,40,32,16,0.0,0.0003,LSTM,3,0.03533021470983539,0.8532689213752747,0.5012820512820513,0.5010624864641307,0.4877075950246682,23
v2,all,11,40,32,16,0.0,0.0003,LSTM,4,0.08245480818706301,0.4800737798213959,0.5170627475505524,0.5195843255290509,0.5008963935793205,9
v2,all,11,40,32,16,0.0,0.0003,LSTM,5,0.11067235199928006,0.7292534112930298,0.5287428404197501,0.5574903295814968,0.5118455342335939,13
v2,all,11,40,32,16,0.1,0.0003,GRU,1,0.060631463461255405,0.6768641471862793,0.5038071065989848,0.4977303987203049,0.4590501355955775,10
v2,all,11,40,32,16,0.1,0.0003,GRU,2,0.0,0.0,0.5,0.4924928251258721,0.45856707359512244,12
