feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,all,11,40,64,32,0.1,0.0005,GRU,1,0.0349593797282583,0.779296875,0.501269035532995,0.5011563569800664,0.47552673666643486,11
v2,all,11,40,64,32,0.1,0.0005,GRU,2,0.0639370852739292,0.275634765625,0.5056689263491976,0.5192048092833154,0.48644190481493343,8
v2,all,11,40,64,32,0.1,0.0005,GRU,3,0.03533021470983539,0.80419921875,0.5012820512820513,0.49788588151228247,0.4811618372593982,8
v2,all,11,40,64,32,0.1,0.0005,GRU,4,0.05284284341966789,0.29150390625,0.502710027100271,0.5044555645955919,0.4958758946563825,7
v2,all,11,40,64,32,0.1,0.0005,GRU,5,0.11333459353472364,0.2445068359375,0.5141623813704586,0.5442051831187635,0.5128558886241064,10
v2,all,11,40,64,32,0.1,0.0005,LSTM,1,0.10673372372055429,0.81787109375,0.5138585633822405,0.5528921032350604,0.5160593839093248,7
v2,all,11,40,64,32,0.1,0.0005,LSTM,2,0.07362820758547188,0.84716796875,0.5170415790865686,0.5281390325522557,0.48611826445245615,8
v2,all,11,40,64,32,0.1,0.0005,LSTM,3,0.06476179089511977,0.039337158203125,0.5040650406504065,0.5034212359380115,0.4885935654228337,8
v2,all,11,40,64,32,0.1,0.0005,LSTM,4,0.07482998191859622,0.1588134765625,0.505420054200542,0.502962633635671,0.47085331109721357,7
v2,all,11,40,64,32,0.1,0.0005,LSTM,5,0.10710394820515809,0.296142578125,0.5158764998536728,0.5339673432628128,0.4951955906740806,8
v2,all,11,40,64,32,0.2,0.0005,GRU,1,0.045749669001247155,0.267333984375,0.5097315902927474,0.5109844915530063,0.4882622905222168,18
v2,all,11,40,64,32,0.2,0.0005,GRU,2,0.053970320010052135,0.08599853515625,0.502770083102493,0.5048627479171331,0.47560169267389574,17
v2,all,11,40,64,32,0.2,0.0005,GRU,3,0.04662444375349558,0.76318359375,0.5037731915780697,0.507590459695849,0.49358626919602533,18
v2,all,11,40,64,32,0.2,0.0005,GRU,4,0.058420855733363634,0.3271484375,0.5192516155930791,0.48538872536521815,0.47340351608644293,7
