day,pred_return
1,-0.013266943395137787
2,-0.015219882130622864
3,-0.030182890594005585
4,-0.017273984849452972
5,-0.019045017659664154
6,-0.01749224215745926
7,-0.02086620032787323
8,-0.025551699101924896
9,-0.015233427286148071
10,-0.007542558014392853
11,-0.016015365719795227
12,-0.013797707855701447
13,-0.019285641610622406
14,-0.010414548218250275
15,-0.005246005952358246
16,-0.013650394976139069
17,-0.013580314815044403
18,-0.016128085553646088
19,-0.003231547772884369
20,-0.003820069134235382
