feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,all,11,40,64,32,0.1,0.0005,GRU,1,0.09323102594413175,0.62744140625,0.5159933245254155,0.547339810313695,0.5150232946248522,10
v2,all,11,40,64,32,0.1,0.0005,GRU,2,0.017948507799685622,0.78759765625,0.5011275212628238,0.5051531977709294,0.4747282116955971,8
v2,all,11,40,64,32,0.1,0.0005,GRU,3,0.07004849966641127,0.759765625,0.5189076506149677,0.5294209379798498,0.5134354805086513,7
v2,all,11,40,64,32,0.1,0.0005,GRU,4,0.0729005325539327,0.3251953125,0.5192203460496143,0.510873405181097,0.5029393370856785,7
v2,all,11,40,64,32,0.1,0.0005,GRU,5,0.07481222375359851,0.275390625,0.5104310380868766,0.5283088189307024,0.480224925791212,10
v2,all,11,40,64,32,0.1,0.0005,LSTM,1,0.044629436815749046,0.55908203125,0.5218726096933454,0.5266200412912403,0.5056776302065225,7
v2,all,11,40,64,32,0.1,0.0005,LSTM,2,0.02543353668355195,0.82568359375,0.5022550425256477,0.4789479964451707,0.4420857751360681,8
v2,all,11,40,64,32,0.1,0.0005,LSTM,3,0.05544453334306406,0.3681640625,0.5244736293516781,0.49744432723790977,0.4898547703425752,9
v2,all,11,40,64,32,0.1,0.0005,LSTM,4,0.07830922458232153,0.462890625,0.5366270585782781,0.5301920104565427,0.5301090959627546,8
v2,all,11,40,64,32,0.1,0.0005,LSTM,5,0.06975356043466105,0.51806640625,0.5344914085037,0.5541921586737725,0.5263179898825201,19
v2,all,11,40,64,32,0.2,0.0005,GRU,1,0.037736974282010324,0.2325439453125,0.5013698630136987,0.4981494509208997,0.48508448647521035,19
v2,all,11,40,64,32,0.2,0.0005,GRU,2,0.0,0.0,0.5,0.49539299100124573,0.4634181990283829,18
v2,all,11,40,64,32,0.2,0.0005,GRU,3,0.05827736201714494,0.2357177734375,0.5117156556180946,0.49528504241430826,0.47681189632409143,9
v2,all,11,40,64,32,0.2,0.0005,GRU,4,0.03734087733559838,0.31982421875,0.5013550135501355,0.49705952623681926,0.4874817594329789,7
v2,all,11,40,64,32,0.2,0.0005,GRU,5,0.07849096596432899,0.67578125,0.5169321459927254,0.5598098220182024,0.5132635143609683,8
v2,all,11,40,64,32,0.2,0.0005,LSTM,1,0.06161956026554646,0.491455078125,0.5260760725957861,0.4971308777958692,0.48370766984215285,13
v2,all,11,40,64,32,0.2,0.0005,LSTM,2,0.061105988487820666,0.2802734375,0.5073114881888667,0.5336626340647166,0.508153649132087,8
v2,all,11,40,64,32,0.2,0.0005,LSTM,3,0.08927491040140301,0.7001953125,0.510183447988326,0.5327516105388329,0.5000486415120562,18
v2,all,11,40,64,32,0.2,0.0005,LSTM,4,0.07458099671952939,0.74169921875,0.5076193454242235,0.5215105675910635,0.5030435688972275,9
v2,all,11,40,64,32,0.2,0.0005,LSTM,5,0.062005463147326224,0.6328125,0.5173815794974707,0.537317574509789,0.49494474406678096,9
v2,all,11,60,64,32,0.1,0.0005,GRU,1,0.08146649877785016,0.54296875,0.5343906412834476,0.5626587895137889,0.531561449602959,12
v2,all,11,60,64,32,0.1,0.0005,GRU,2,0.06008837769474191,0.3271484375,0.5116854015134817,0.5397146081732285,0.5200683270883844,7
