feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,all,11,40,32,16,0.0,0.0005,GRU,1,0.1458010413738074,0.4765378534793854,0.5725575412001946,0.5871996641610453,0.5715875112996315,37
v2,all,11,40,32,16,0.0,0.0005,GRU,2,0.066312388925546,0.635158896446228,0.5146577764167096,0.5453171129599652,0.5063544871170256,18
v2,all,11,40,32,16,0.0,0.0005,GRU,3,0.10039357150754709,0.7192042469978333,0.5102564102564102,0.5257401188789637,0.4931415468000834,12
v2,all,11,40,32,16,0.0,0.0005,GRU,4,0.14411774924683785,0.6282067894935608,0.5267041901188243,0.5431839130077614,0.5045097630463484,14
v2,all,11,40,32,16,0.0,0.0005,GRU,5,0.06908118793305934,0.46035364270210266,0.5268405869810611,0.5339541610180822,0.5194684839109773,7
v2,all,11,40,32,16,0.0,0.0005,LSTM,1,0.09465481512155453,0.7640736103057861,0.5113204923162507,0.5622947172227655,0.5342465753424658,39
v2,all,11,40,32,16,0.0,0.0005,LSTM,2,0.06062799779676557,0.7767336964607239,0.510405211653837,0.5369604725632798,0.4949818343796545,7
v2,all,11,40,32,16,0.0,0.0005,LSTM,3,0.07080067519990257,0.8131395578384399,0.5051282051282051,0.5333874601571469,0.5076089222430686,7
v2,all,11,40,32,16,0.0,0.0005,LSTM,4,0.10610702679659449,0.3449980318546295,0.510840108401084,0.5206476311145287,0.4956222639149468,24
v2,all,11,40,32,16,0.0,0.0005,LSTM,5,0.0741560156831203,0.4434490501880646,0.5162005100547682,0.554765909193679,0.5171133129868863,16
v2,all,11,40,32,16,0.1,0.0005,GRU,1,0.1334610862765897,0.42705339193344116,0.5376329879702385,0.5812626969176955,0.5659550796189416,28
v2,all,11,40,32,16,0.1,0.0005,GRU,2,0.07134364100934036,0.6873139142990112,0.5085364495608236,0.5428182077192765,0.5041412046381493,17
v2,all,11,40,32,16,0.1,0.0005,GRU,3,0.10655442812875565,0.7375769019126892,0.5115384615384615,0.5264760214925657,0.4966020429435064,13
v2,all,11,40,32,16,0.1,0.0005,GRU,4,0.11586780341894522,0.6231955289840698,0.5190118824265165,0.5374279152097465,0.5046834827322633,12
v2,all,11,40,32,16,0.1,0.0005,GRU,5,0.07590605897195553,0.45802775025367737,0.5293281491701158,0.5345208185634898,0.5194545479883496,7
v2,all,11,40,32,16,0.1,0.0005,LSTM,1,0.07523537766092016,0.6197853088378906,0.5253563729921424,0.5461586562214373,0.518607885404353,32
v2,all,11,40,32,16,0.1,0.0005,LSTM,2,0.07347614418758396,0.740825355052948,0.5160428179679561,0.5366542343455131,0.4934923927114798,7
v2,all,11,40,32,16,0.1,0.0005,LSTM,3,0.05706165891273545,0.8123047351837158,0.5050552428601209,0.5317549436074629,0.5062539086929331,7
v2,all,11,40,32,16,0.1,0.0005,LSTM,4,0.06318480059837019,0.42497050762176514,0.511496768813842,0.5187579286029592,0.4971093044263776,12
v2,all,11,40,32,16,0.1,0.0005,LSTM,5,0.07024468377687801,0.5651403665542603,0.5297566787909194,0.5539012349819019,0.513566620678122,16
v2,all,11,40,32,16,0.2,0.0005,GRU,1,0.15357862404933756,0.4758819341659546,0.5599367220638343,0.5779355428681416,0.564244489256658,15
v2,all,11,40,32,16,0.2,0.0005,GRU,2,0.07284172398315159,0.6718672513961792,0.5107914920864711,0.5440048482951905,0.5110872924177676,18
v2,all,11,40,32,16,0.2,0.0005,GRU,3,0.08682784387133766,0.6834908723831177,0.5076923076923077,0.5294002573385708,0.5025918977138489,12
v2,all,11,40,32,16,0.2,0.0005,GRU,4,0.08102080958267102,0.6434656977653503,0.5101104857202418,0.5310692697609632,0.5066569383642554,12
v2,all,11,40,32,16,0.2,0.0005,GRU,5,0.07723878585675413,0.3655727803707123,0.5056022408963585,0.5323246448898824,0.5169809217219226,7
v2,all,11,40,32,16,0.2,0.0005,LSTM,1,0.11171072938363277,0.43187081813812256,0.5470864334886308,0.5531059968204097,0.5361518670467978,43
v2,all,11,40,32,16,0.2,0.0005,LSTM,2,0.07783601835154487,0.6561404466629028,0.5141740558749426,0.5459470674929082,0.5028814432272164,10
v2,all,11,40,32,16,0.2,0.0005,LSTM,3,0.05706165891273545,0.8065356016159058,0.5050552428601209,0.5285586018795737,0.5088527551942186,7
v2,all,11,40,32,16,0.2,0.0005,LSTM,4,0.06425849427966894,0.6897566318511963,0.5143631436314363,0.5185019576310188,0.49378778403168644,20
v2,all,11,40,32,16,0.2,0.0005,LSTM,5,0.07387642878778562,0.5492949485778809,0.5317739035912872,0.5483720777289602,0.5097760497233719,25
v2,all,11,40,32,16,0.0,0.0003,GRU,1,0.13547457899103046,0.4740084111690521,0.5608267853417703,0.5850041389019316,0.5715318823447605,34
v2,all,11,40,32,16,0.0,0.0003,GRU,2,0.06414745868211713,0.6568993330001831,0.5105339717980484,0.5433281236889891,0.5100154512173053,25
v2,all,11,40,32,16,0.0,0.0003,GRU,3,0.11795773458879781,0.714659571647644,0.514102564102564,0.5282077410975978,0.49180043082482106,23
v2,all,11,40,32,16,0.0,0.0003,GRU,4,0.10603976156702337,0.6522228717803955,0.515238690848447,0.5368058216854048,0.5036828573413938,20
v2,all,11,40,32,16,0.0,0.0003,GRU,5,0.07474145981120646,0.4528924524784088,0.5243216689660939,0.5348031654800653,0.5239349471131736,7
v2,all,11,40,32,16,0.0,0.0003,LSTM,1,0.05079080929520784,0.7710370421409607,0.509244836937626,0.51550932346318,0.4814825116473125,7
v2,all,11,40,32,16,0.0,0.0003,LSTM,2,0.06769402585035211,0.7768933176994324,0.5166552986539344,0.545445303980246,0.5080318489956709,7
v2,all,11,40,32,16,0.0,0.0003,LSTM,3,0.06955082020176438,0.7525861859321594,0.5266833437565145,0.5378133957215728,0.5195260926968244,7
v2,all,11,40,32,16,0.0,0.0003,LSTM,4,0.06525849170419874,0.3994773030281067,0.5114238065457577,0.5197549614718864,0.4951358487943853,36
v2,all,11,40,32,16,0.0,0.0003,LSTM,5,0.08978938864760985,0.44286561012268066,0.5166603955014841,0.5473770509720407,0.5187368479730201,22
v2,all,11,40,32,16,0.1,0.0003,GRU,1,0.1398008568055571,0.5127172470092773,0.5692789096724845,0.589075575100499,0.5775537167095472,40
v2,all,11,40,32,16,0.1,0.0003,GRU,2,0.0808350520683718,0.6489883065223694,0.5174278595192027,0.5453598510503508,0.5050251256281407,29
v2,all,11,40,32,16,0.1,0.0003,GRU,3,0.09710783783580076,0.4713951051235199,0.522701688555347,0.5251149104847324,0.49312764922521013,15
