loss,auc,auprc,acc,prec,rec,val_loss,val_auc,val_auprc,val_acc,val_prec,val_rec,lr
0.7236146330833435,0.5039272904396057,0.5125124454498291,0.5026239156723022,0.5123694539070129,0.5322672724723816,0.7474071383476257,0.41487833857536316,0.517519474029541,0.4300518035888672,0.5194805264472961,0.3539822995662689,0.0005
0.6987498998641968,0.5451928973197937,0.5483948588371277,0.5332361459732056,0.5407165884971619,0.5688177943229675,0.738574743270874,0.42206859588623047,0.5424720644950867,0.39896371960639954,0.48148149251937866,0.3451327383518219,0.0005
0.6904118657112122,0.5577782392501831,0.5674275755882263,0.5402332544326782,0.545597493648529,0.5945174098014832,0.7353746294975281,0.39457961916923523,0.5221276879310608,0.43523314595222473,0.5204081535339355,0.45132744312286377,0.0005
0.6809224486351013,0.585956335067749,0.5900313854217529,0.5629737377166748,0.568108081817627,0.6002284288406372,0.73310387134552,0.41720131039619446,0.5331327319145203,0.4455958604812622,0.5288461446762085,0.48672565817832947,0.0005
0.6809453368186951,0.5875089168548584,0.59237140417099,0.5629737377166748,0.5666666626930237,0.6116504669189453,0.7439634203910828,0.4136062264442444,0.528666615486145,0.44041451811790466,0.5316455960273743,0.37168142199516296,0.0005
0.6790477633476257,0.5913598537445068,0.5916054844856262,0.5635568499565125,0.5662839412689209,0.619645893573761,0.7457919120788574,0.44048672914505005,0.546689510345459,0.4196891188621521,0.5076923370361328,0.29203540086746216,0.0005
0.6727077960968018,0.6079719662666321,0.6189668774604797,0.571137011051178,0.5765864253044128,0.6019417643547058,0.7568419575691223,0.41709068417549133,0.5309053659439087,0.37823835015296936,0.44262295961380005,0.23893804848194122,0.0005
0.6724051833152771,0.6124346852302551,0.6140656471252441,0.5833819508552551,0.5920000076293945,0.5916619300842285,0.7389028072357178,0.4083517789840698,0.5284983515739441,0.4455958604812622,0.53125,0.45132744312286377,0.0005
0.6683844923973083,0.6211209297180176,0.622706413269043,0.5851311683654785,0.5883620977401733,0.6236436367034912,0.7357351779937744,0.4175885021686554,0.5311397910118103,0.5025906562805176,0.573913037776947,0.5840708017349243,0.0005
0.6683648824691772,0.6206137537956238,0.6258136034011841,0.5892128348350525,0.5908607840538025,0.6350656747817993,0.7545064687728882,0.4278760850429535,0.5299390554428101,0.42487046122550964,0.5142857432365417,0.3185840845108032,0.0005
0.663375973701477,0.6371800303459167,0.6367490291595459,0.5988337993621826,0.6064735651016235,0.6099371910095215,0.7271000146865845,0.4220132827758789,0.5276908874511719,0.4663212299346924,0.5390625,0.6106194853782654,0.0005
0.6623136401176453,0.6430228352546692,0.6374722719192505,0.5976676344871521,0.591334342956543,0.6858937740325928,0.7482297420501709,0.43451327085494995,0.5390418767929077,0.4455958604812622,0.5375000238418579,0.38053098320961,0.0005
0.6570756435394287,0.6516566872596741,0.6542167663574219,0.6049562692642212,0.6080785989761353,0.6362078785896301,0.7465013265609741,0.4379424750804901,0.5414018630981445,0.4559585452079773,0.5476190447807312,0.40707963705062866,0.00025
0.6550993919372559,0.6572127938270569,0.6628633737564087,0.6104956269264221,0.6121015548706055,0.6470588445663452,0.745396614074707,0.4280420243740082,0.5327923893928528,0.45077720284461975,0.540229856967926,0.4159291982650757,0.00025
0.6540483236312866,0.6615740060806274,0.663159966468811,0.6104956269264221,0.6064648628234863,0.6750428080558777,0.743742048740387,0.4370022118091583,0.5450699329376221,0.4455958604812622,0.5340909361839294,0.4159291982650757,0.00025
0.6529719829559326,0.6651735305786133,0.6676981449127197,0.6154518723487854,0.6152614951133728,0.6584808826446533,0.7402697801589966,0.4258849620819092,0.5251895189285278,0.4455958604812622,0.5306122303009033,0.4601770043373108,0.00025
0.6518034338951111,0.6662208437919617,0.6662868857383728,0.6169096231460571,0.6226838827133179,0.6333523988723755,0.7526298761367798,0.43877214193344116,0.5433633923530579,0.44041451811790466,0.5301204919815063,0.389380544424057,0.00025
0.6507857441902161,0.6693064570426941,0.6682707071304321,0.6221574544906616,0.6210750341415405,0.666476309299469,0.7398310303688049,0.4324668049812317,0.5411080121994019,0.46113988757133484,0.5445544719696045,0.48672565817832947,0.00025
