model,roundtrip_bps,trades,exposure,turnover,CAGR,Sharpe,MaxDD,final_equity
Entry@t+1 (No-Overlap),5.0,140,0.2587800369685767,279.0,-0.10251296512919705,-0.8280053090623504,-0.25672564987796886,0.7927928255754284
Entry@t+1 (No-Overlap),10.0,140,0.2587800369685767,279.0,-0.13121980924941468,-1.0759263517497835,-0.2978572162523798,0.7393502824251307
Entry@t+1 (No-Overlap),15.0,140,0.2587800369685767,279.0,-0.15901528235344375,-1.3231675065259005,-0.34251476083971655,0.6894982865603037
Entry@t+1 (No-Overlap),25.0,140,0.2587800369685767,279.0,-0.21198608349794856,-1.8149448259590892,-0.4247746261118286,0.5996202919568279
Entry@t+1 (No-Overlap),50.0,140,0.2587800369685767,279.0,-0.3303676852301265,-3.021209973421366,-0.5882905411470618,0.42276708524273493
Entry@t+1 (No-Overlap),100.0,140,0.2587800369685767,279.0,-0.51674627203915,-5.276723840604941,-0.7920243326237361,0.20988399702472282
