Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target,target_z
2012-02-21,15.20186329,15.44089222,15.11908771,15.44089222,605595200,0.02503686,0.03393859,0.02408112,0.01577456,0.77854187,84.39588129,0.63457821,0.56623605,0.06834216,20.22172233,0.95157048,0.04834730,0,0
2012-02-22,15.38780302,15.46008108,15.26753820,15.38660336,483302400,-0.00352211,0.02133536,0.00700226,0.01637774,0.70159185,82.91044085,0.64002339,0.58099352,0.05902987,19.99615310,0.31020136,0.04743818,1,0
2012-02-23,15.44778593,15.53026199,15.28043609,15.48707390,568027600,0.00650851,0.02802326,0.03692500,0.01616745,0.69113586,84.55700832,0.64501058,0.59379693,0.05121365,20.15768057,0.83299747,0.04810112,1,1
2012-02-24,15.58544477,15.68231525,15.55455449,15.66761971,415072000,0.01159041,0.01457681,0.03943428,0.01349386,0.73205943,84.80723181,0.65596989,0.60623152,0.04973837,19.84396256,-0.15950482,0.04572686,1,1
2012-02-27,15.63462812,15.85026422,15.48377414,15.76808929,547582000,0.00639209,0.02449101,0.04600576,0.01336705,0.72387546,84.64706495,0.66509547,0.61800431,0.04709116,20.12102278,0.63767675,0.04394943,1,1
2012-02-28,15.83407148,16.05750465,15.77079013,16.05750465,600387200,0.01818809,0.03617059,0.03915699,0.01334257,0.81678906,85.42973286,0.68775298,0.63195405,0.05579893,20.21308534,0.83804367,0.04188145,1,1
2012-02-29,16.24194994,16.42339631,16.06620241,16.26834106,952011200,0.01304463,0.03762481,0.05572373,0.01331267,0.84680566,85.30145900,0.71448580,0.64846040,0.06602540,20.67408736,2.40455828,0.03950991,1,0
2012-03-01,16.44019064,16.44139191,16.15827477,16.32922363,683270000,0.00373541,0.03496813,0.05295063,0.00847523,0.79889917,82.60018238,0.73214476,0.66519727,0.06694749,20.34240065,0.93190571,0.03969239,1,0
2012-03-02,16.32232394,16.39909956,16.27073817,16.35051537,431712400,0.00130305,0.01808310,0.04266327,0.00881576,0.74836534,82.70126881,0.73933508,0.68002483,0.05931025,19.88327018,-0.98831087,0.03893278,0,0
2012-03-05,16.35771434,16.41949490,15.77528700,15.99002457,809124400,-0.02229435,-0.01725589,0.01397683,0.01295580,0.47904570,68.63856199,0.70778596,0.68557706,0.02220890,20.51146323,1.62094038,0.03753511,0,0
2012-03-06,15.70510793,16.00591733,15.48197429,15.90304852,810238800,-0.00545424,-0.02644554,-0.00966550,0.01148136,0.38561288,63.32974691,0.66806378,0.68207440,-0.01401062,20.51283958,1.21304276,0.03383888,1,0
2012-03-07,16.09919588,16.12858698,15.69431625,15.91595078,798520800,0.00081098,-0.02693762,-0.02189915,0.01129017,0.36498270,74.76732045,0.63035840,0.67173120,-0.04137280,20.49827157,1.02009676,0.03106550,1,1
2012-03-08,16.03591283,16.28483861,15.95883608,16.25484848,516457200,0.02106943,0.01642617,-0.00456513,0.01260100,0.62589961,77.09054097,0.62066814,0.66151859,-0.04085044,20.06250298,-0.63089416,0.02951321,1,1
2012-03-09,16.32142195,16.42729073,16.28843186,16.35021400,418919200,0.00584975,0.02773016,-0.00001843,0.01238819,0.65359943,78.13343570,0.61361043,0.65193696,-0.03832653,19.85318862,-1.55590876,0.02874615,1,1
2012-03-12,16.46448899,16.55506325,16.40510614,16.55506325,407282400,0.01245101,0.03937019,0.03472693,0.01264923,0.77521343,76.30637634,0.61742942,0.64503545,-0.02760603,19.82501736,-1.36925921,0.02800537,1,1
2012-03-13,16.72120208,17.04030598,16.66751650,17.03790665,690855200,0.02874867,0.04704943,0.06892984,0.01422707,1.05057532,82.42634712,0.65190270,0.64640890,0.00549380,20.35344081,0.62255991,0.02782051,1,1
2012-03-14,17.33632501,17.83627478,17.25684732,17.68212128,1418844000,0.03711337,0.07831305,0.10523223,0.01727462,1.25819508,85.51878350,0.72287293,0.66170171,0.06117122,21.07310829,2.97674054,0.02894050,0,0
2012-03-15,17.98293358,17.99493027,17.35132280,17.56155968,1159718000,-0.00684163,0.05902041,0.07732117,0.01789992,1.01209380,81.25316710,0.76062106,0.68148558,0.07913549,20.87144271,2.27520614,0.02817208,0,0
2012-03-16,17.53636655,17.67072633,17.33482689,17.56185913,825487600,0.00001705,0.03028879,0.07148847,0.01795214,0.89341555,80.61221702,0.78155166,0.70149879,0.08005286,20.53148480,1.09259398,0.02771679,1,1
2012-03-19,17.94573918,18.04770785,17.66622269,18.02761459,901236000,0.02617527,0.01935069,0.08521273,0.01549503,1.03907039,81.71288024,0.82619798,0.72643863,0.09975935,20.61927771,1.40447831,0.03084377,1,1
2012-03-20,17.97992357,18.20155636,17.73909608,18.17336655,816662000,0.00805242,0.03424474,0.06451648,0.01435160,0.96832892,81.32150408,0.86338887,0.75382868,0.10956019,20.52073586,0.69368155,0.03606246,0,0
2012-03-21,18.07680671,18.28404522,18.03691970,18.06960869,644042000,-0.00572570,0.02850199,0.02167742,0.01511448,0.80708471,78.21674680,0.87441086,0.77794511,0.09646574,20.28327450,-0.30995121,0.04064955,0,0
2012-03-22,17.92804544,18.12958666,17.86056605,17.97483253,623870800,-0.00525886,-0.00293214,0.02326018,0.01577166,0.68034099,75.72204190,0.86552103,0.79546030,0.07006074,20.25145385,-0.47004046,0.04318632,0,0
2012-03-23,18.00932357,18.04861154,17.82667752,17.87616348,430488800,-0.00550441,-0.01648897,0.01773872,0.01650016,0.56674036,82.56882260,0.84082155,0.80453255,0.03628900,19.88043187,-2.27786662,0.04540118,1,1
2012-03-26,17.98832055,18.20905640,17.85246326,18.20395660,595742000,0.01817079,0.00740752,0.00973424,0.01673355,0.68005727,86.68028039,0.83803683,0.81123340,0.02680342,20.20531825,-0.80028513,0.04761004,1,1
2012-03-27,18.17996645,18.48287563,18.17636744,18.42889214,607129600,0.01228069,0.02494707,0.01396251,0.01538409,0.72026359,87.52371732,0.84424836,0.81783640,0.02641197,20.22425284,-0.69402422,0.04847914,1,0
2012-03-28,18.54586341,18.63793683,18.30383612,18.52307129,655460400,0.00509739,0.03554888,0.02478560,0.01144371,0.68898792,86.54001190,0.84700675,0.82367047,0.02333629,20.30084845,-0.10645504,0.04650061,0,0
2012-03-29,18.37791277,18.49127911,18.21146307,18.29033852,608238400,-0.01264408,0.00473400,0.01740038,0.01221222,0.51022127,79.92985263,0.82094981,0.82312634,-0.00217652,20.22607747,-0.29361949,0.04478530,0,0
2012-03-30,18.25765102,18.31133503,17.93284812,17.98113441,731038000,-0.01704985,-0.02459654,0.00585494,0.01391484,0.30766096,71.31343793,0.76651342,0.81180375,-0.04529033,20.40997600,0.44772074,0.04230197,1,1
2012-04-02,18.04950456,18.55755230,18.00601697,18.55335426,598351600,0.03132748,0.00163354,0.01901163,0.01495142,0.56996531,72.05987593,0.76077580,0.80159816,-0.04082237,20.20968910,-0.38582974,0.03768479,1,1
2012-04-03,18.81337801,18.96063618,18.66972205,18.87396049,834559600,0.01713262,0.03141025,0.02386356,0.01556399,0.70070361,69.15375100,0.77318612,0.79591575,-0.02272963,20.54241472,1.15135514,0.03293288,0,0
2012-04-04,18.72491259,18.77019891,18.50447772,18.72371292,572980800,-0.00799243,0.04046767,0.01077374,0.01573344,0.58516087,68.50015563,0.76211252,0.78915511,-0.02704259,20.16636277,-0.58134821,0.02846973,1,1
2012-04-05,18.80378770,19.03411942,18.69641969,19.00472832,641298000,0.01489702,0.02403721,0.03831484,0.01576975,0.73192409,71.08444205,0.76716875,0.78475784,-0.01758908,20.27900481,-0.01752653,0.02633210,1,0
2012-04-09,18.77829041,19.18946778,18.75339848,19.08119965,597536800,0.00401573,0.01092032,0.05938042,0.01530739,0.76501107,67.37236056,0.76848780,0.78150383,-0.01301603,20.20832643,-0.76404905,0.02524750,0,0
2012-04-10,19.19216696,19.31423049,18.77439221,18.84757042,889725200,-0.01231952,0.00659322,0.01573342,0.01575959,0.57781511,60.80372725,0.74212646,0.77362836,-0.03150189,20.60642321,3.07207256,0.02233056,0,0
2012-04-11,19.08030646,19.10039972,18.69461995,18.78039551,696614800,-0.00357048,-0.01187427,-0.00496969,0.01557148,0.49416656,61.52507258,0.70765703,0.76043409,-0.05277706,20.36174316,0.68095820,0.01938589,0,0
2012-04-12,18.74439919,18.93424321,18.60943883,18.67751884,614336800,-0.00549293,-0.02138294,-0.00247019,0.01568874,0.34625724,61.36387466,0.66437991,0.74122325,-0.07684335,20.23605387,-0.57645270,0.01746386,0,0
2012-04-13,18.71771080,18.73540632,18.09989554,18.15147972,859644800,-0.02856851,-0.03763193,-0.04593572,0.01786556,-0.28374107,53.91171442,0.58093881,0.70916637,-0.12822755,20.57202984,3.71923084,0.01507689,0,0
2012-04-16,18.29633979,18.30293717,17.34232548,17.39870834,1050786800,-0.04235611,-0.07641756,-0.09230757,0.02179025,-1.12044359,39.79174470,0.44889421,0.65711194,-0.20821772,20.77280505,6.28627987,0.01235891,1,1
2012-04-17,17.36301459,18.29453444,17.15217715,18.28553772,1025528000,0.04971449,-0.02121014,-0.03027356,0.02549670,-0.12678365,48.44382859,0.41106909,0.60790337,-0.19683428,20.74847344,5.97518346,0.01019325,0,0
2012-04-18,18.40610440,18.60194680,18.07590224,18.24475288,954531200,-0.00223293,0.00512544,-0.02893601,0.02464949,-0.17884584,46.94330449,0.37349598,0.56102189,-0.18752591,20.67673089,5.05790567,0.00657740,0,0
2012-04-19,18.00122451,18.13648442,17.53036474,17.61793900,834719200,-0.03495988,0.01252167,-0.05840296,0.02660638,-0.82568736,43.20353257,0.28979975,0.50677746,-0.21697771,20.54260594,2.46928647,0.00179695,0,0
2012-04-20,17.73610596,17.83327758,17.10749362,17.18427086,1030985200,-0.02492316,-0.06211598,-0.05475760,0.02609167,-1.09787668,42.14316402,0.18632861,0.44268769,-0.25635908,20.75378069,2.90456852,-0.00597155,0,0
2012-04-23,17.11319647,17.29494242,16.69362122,17.14588547,966529200,-0.00223625,-0.06211929,-0.01463774,0.02578983,-0.99340921,34.49006445,0.10007599,0.37416535,-0.27408936,20.68922207,1.71534844,-0.01456370,0,0
2012-04-24,16.87325586,17.02561060,16.64502407,16.80337715,1076149200,-0.02017834,-0.04733776,-0.08453057,0.02596400,-1.06372112,27.29232899,0.00403608,0.30013950,-0.29610342,20.79665495,1.41430750,-0.02199162,1,1
