Date,close,high,low,open,volume
2010-01-04,6.41838312,6.43307867,6.36949780,6.40098832,493729600
2010-01-05,6.42948103,6.46577023,6.39559077,6.43607921,601904800
2010-01-06,6.32721090,6.45497287,6.32061272,6.42948030,552160000
2010-01-07,6.31551456,6.35810243,6.26962841,6.35060449,477131200
2010-01-08,6.35750055,6.35810079,6.26992751,6.30711565,447610800
2010-01-11,6.30141973,6.38809345,6.25163426,6.38209510,462229600
2010-01-12,6.22973776,6.29121999,6.19074972,6.27382439,594459600
2010-01-13,6.31761122,6.32600890,6.12117065,6.23423703,605892000
2010-01-14,6.28102446,6.31191554,6.26872825,6.30141883,432894000
2010-01-15,6.17605591,6.34610542,6.17425640,6.32601096,594067600
2010-01-19,6.44927359,6.45377235,6.21534411,6.24803389,730007600
2010-01-20,6.35000420,6.46456940,6.28312384,6.44537510,612152800
2010-01-21,6.24023628,6.39738975,6.21444419,6.36050112,608154400
2010-01-22,5.93072987,6.22314248,5.91303554,6.20154923,881767600
2010-01-25,6.09028006,6.13916496,6.00390589,6.07348509,1065699600
2010-01-26,6.17635584,6.40938639,6.07558602,6.17665576,1867110000
2010-01-27,6.23453712,6.31551238,5.98411143,6.20364605,1722568400
2010-01-28,5.97691345,6.16315805,5.95921914,6.14606356,1173502400
2010-01-29,5.76007986,6.06418919,5.70579603,6.03059926,1245952400
2010-02-01,5.84015512,5.87824382,5.73728591,5.76937625,749876400
2010-02-02,5.87404490,5.88784109,5.79966742,5.87554488,698342400
2010-02-03,5.97511482,6.00420640,5.83085782,5.85335121,615328000
2010-02-04,5.75978088,5.94932383,5.74538485,5.90013819,757652000
2010-02-05,5.86205006,5.87824559,5.72379136,5.77717585,850306800
2010-02-08,5.82186031,5.93462680,5.81826131,5.86894652,478270800
2010-02-09,5.88394356,5.92323153,5.84075626,5.89084126,632886800
2010-02-10,5.85185146,5.89623882,5.82605938,5.87494429,370361600
2010-02-11,5.95832109,5.99071177,5.82006241,5.84465523,550345600
2010-02-12,6.00960684,6.04739563,5.86325037,5.94152680,655468800
2010-02-16,6.10017872,6.10887592,6.04379547,6.05639159,543737600
2010-02-17,6.07468462,6.12746845,6.02399901,6.12386944,436396800
2010-02-18,6.08608341,6.11487508,6.02580123,6.04709456,422825200
2010-02-19,6.04829311,6.09417966,6.03149815,6.05399194,415469600
2010-02-22,6.01080418,6.07318577,5.97391555,6.06838749,390563600
2010-02-23,5.91003609,6.03809800,5.86954845,5.99820979,575094800
2010-02-24,6.01800299,6.04139573,5.93342751,5.94512429,460566400
2010-02-25,6.05819130,6.08398339,5.90493715,5.91963270,665126000
2010-02-26,6.13676643,6.15326148,6.05819011,6.06958657,507460800
2010-03-01,6.26782942,6.28312440,6.16166068,6.17065780,550093600
2010-03-02,6.26362944,6.32301146,6.23033902,6.29601930,566546400
2010-03-03,6.27802467,6.29422021,6.23633777,6.26632870,372052800
2010-03-04,6.31941319,6.32571145,6.25703158,6.27652661,366041200
2010-03-05,6.56653881,6.58903221,6.43697735,6.44627478,899620400
2010-03-08,6.57043886,6.60072931,6.54554612,6.59833037,429889600
2010-03-09,6.68860197,6.74798399,6.53474802,6.54734414,920259200
2010-03-10,6.74318647,6.76238118,6.69400163,6.71289603,596218000
2010-03-11,6.76298189,6.76298189,6.69760190,6.71529703,405700400
2010-03-12,6.79597044,6.82985989,6.77047787,6.81906287,416323600
2010-03-15,6.71319485,6.76297911,6.60552655,6.75938091,493502800
2010-03-16,6.73148966,6.74738487,6.67330730,6.72339229,446908000
2010-03-17,6.72159195,6.79147067,6.69609978,6.74498470,450956800
2010-03-18,6.73748922,6.74798593,6.67630728,6.72099337,342109600
2010-03-19,6.66550970,6.75518297,6.63491854,6.74168710,559445600
2010-03-22,6.74048805,6.77797732,6.60252928,6.61212663,456419600
2010-03-23,6.84875488,6.86135141,6.72099251,6.76717897,602431200
2010-03-24,6.87904453,6.90393726,6.82326073,6.82716005,597780400
2010-03-25,6.79746914,6.92703100,6.78547245,6.92553101,542284400
2010-03-26,6.92493153,6.95642164,6.85445217,6.86644886,640875200
2010-03-29,6.96961594,7.01400288,6.94652351,6.98791129,540744400
2010-03-30,7.07338667,7.12227278,7.02540071,7.09588006,527310000
2010-03-31,7.04789352,7.09617980,7.03169879,7.06258987,430659600
2010-04-01,7.07698584,7.15976060,6.98041488,7.12017312,603145200
2010-04-05,7.15256405,7.15316388,7.04099721,7.04729588,684507600
2010-04-06,7.18405581,7.20504922,7.10787840,7.14386768,447017200
2010-04-07,7.21584654,7.25543483,7.15766337,7.18435562,628502000
2010-04-08,7.19634867,7.24403430,7.13906568,7.21104421,572989200
2010-04-09,7.25153637,7.25453634,7.21164856,7.24074014,334182800
2010-04-12,7.26652813,7.28992087,7.25213210,7.26382847,333026400
2010-04-13,7.27072906,7.28182641,7.23114078,7.25363498,306210800
2010-04-14,7.36849833,7.37209733,7.31991333,7.35620212,404076400
2010-04-15,7.46537066,7.46866934,7.36310086,7.37119823,376784800
2010-04-16,7.41978216,7.53194880,7.33430776,7.45487127,750545600
2010-04-19,7.40988684,7.43447925,7.25093388,7.40868717,566924400
2010-04-20,7.33550882,7.47526707,7.28662351,7.45397334,738326400
2010-04-21,7.77427673,7.80516781,7.66960762,7.76168021,982391200
2010-04-22,7.99171305,8.00011073,7.68370480,7.74488712,793424800
2010-04-23,8.12247562,8.16296327,8.00761008,8.03730070,796955600
2010-04-26,8.08258724,8.17136037,8.04329847,8.15396597,479068800
2010-04-27,7.85884953,8.03279748,7.81326372,8.01570261,709343600
2010-04-28,7.84565639,7.91763414,7.69000294,7.89514154,758402400
2010-04-29,8.05679607,8.09758323,7.85795526,7.88824571,558840800
2010-04-30,7.83036184,8.11467624,7.82766299,8.07688746,542463600
2010-05-03,7.98811483,8.03400178,7.88404553,7.91283759,454342000
2010-05-04,7.75808334,7.89634242,7.70020130,7.88434653,723819600
2010-05-05,7.67740822,7.74188925,7.45967303,7.58863509,883103200
2010-05-06,7.38529634,7.74518836,5.97571640,7.61262810,1285860800
2010-05-07,7.07368565,7.39489021,6.75428138,7.30911628,1676018400
2010-05-10,7.61742640,7.63722094,7.45367551,7.50526050,984306400
2010-05-11,7.69330454,7.79437388,7.51275830,7.55294562,848906800
2010-05-12,7.86035585,7.89154646,7.75868665,7.77488059,654379600
2010-05-13,7.74848509,7.94762534,7.68970211,7.89424087,599712400
2010-05-14,7.61232710,7.69210351,7.48276602,7.65251522,759362800
2010-05-17,7.62432671,7.68310972,7.42908485,7.63872274,762834800
2010-05-18,7.56854010,7.75418450,7.50555826,7.70709869,782678400
2010-05-19,7.44797611,7.58533504,7.34330777,7.48276572,1025726800
2010-05-20,7.13067245,7.31331772,7.08418567,7.25423440,1282915200
2010-05-21,7.26742983,7.33281019,6.93842738,6.98251402,1223891200
2010-05-24,7.40058899,7.52475234,7.38559393,7.41618469,754238800
2010-05-25,7.35440445,7.40059012,7.11267669,7.17835658,1048006400
2010-05-26,7.32111311,7.56164197,7.31031609,7.50016013,850654000
2010-05-27,7.59823132,7.61442685,7.47106957,7.51575605,666282400
2010-05-28,7.70409632,7.77967384,7.59822756,7.77937433,815614800
2010-06-01,7.82256365,7.97581778,7.76648032,7.78837388,876472800
2010-06-02,7.91613436,7.94162612,7.80756593,7.93382827,688548000
2010-06-03,7.89124393,7.96412184,7.80996755,7.95302450,650106800
2010-06-04,7.67650747,7.85465354,7.63661968,7.74398686,758304400
2010-06-07,7.52595425,7.77218040,7.51425707,7.74638831,886942000
2010-06-08,7.47766447,7.61172465,7.36729735,7.59492929,1000770400
2010-06-09,7.29382038,7.55474359,7.27252746,7.54184675,854630000
2010-06-10,7.51305437,7.52714928,7.26382837,7.34300491,776356000
2010-06-11,7.60302830,7.61352500,7.41888312,7.44467520,545759200
2010-06-14,7.62612247,7.77217860,7.61802511,7.67650778,602960400
2010-06-15,7.78837490,7.79317358,7.66271234,7.66691119,585074000
2010-06-16,8.01510715,8.03010222,7.81656590,7.83066161,783678000
2010-06-17,8.15366554,8.18455662,8.08258634,8.11557645,872855200
2010-06-18,8.21964645,8.24753917,8.14017036,8.16506310,784621600
2010-06-21,8.10268402,8.36780463,8.05949671,8.32821633,776490400
2010-06-22,8.21304989,8.27663077,8.14257130,8.16236505,717262000
2010-06-23,8.12667656,8.23734409,8.03460391,8.23494475,768457200
2010-06-24,8.06759739,8.19355955,8.04060481,8.12757849,714277200
2010-06-25,7.99861479,8.10568331,7.97192254,8.09938545,549942400
2010-06-28,8.04659653,8.09008413,7.93323020,8.00550826,584948000
2010-06-29,7.68280506,7.92933146,7.62672173,7.92123329,1133344800
