Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target,target_z
2010-02-22,6.06838749,6.07318577,5.97391555,6.01080418,390563600,-0.00621756,-0.01057153,0.00019922,0.00970561,0.15184526,59.00591845,-0.04440089,-0.07919595,0.03479506,19.78310138,-1.45645847,0.00248181,0,0
2010-02-23,5.99820979,6.03809800,5.86954845,5.91003609,575094800,-0.01690661,-0.02935282,-0.03166613,0.01118777,-0.19099649,51.77417879,-0.04890650,-0.07313806,0.02423156,20.17004545,-0.28392688,0.00547676,1,1
2010-02-24,5.94512429,6.04139573,5.93342751,6.01800299,460566400,0.01810354,-0.00502063,-0.00937460,0.01208103,0.26371678,52.09988549,-0.04326645,-0.06716373,0.02389729,19.94796759,-1.02814397,0.00906615,1,1
2010-02-25,5.91963270,6.08398339,5.90493715,6.05819130,665126000,0.00665582,0.00785274,-0.00459347,0.01182567,0.53011931,67.63536228,-0.03514864,-0.06076071,0.02561208,20.31548705,0.47157315,0.01403439,1,1
2010-02-26,6.06958657,6.15326148,6.05819011,6.13676643,507460800,0.01288667,0.03764603,0.01452186,0.01121797,0.79716462,66.70286723,-0.02211987,-0.05303255,0.03091267,20.04493002,-0.49547429,0.01567077,1,1
2010-03-01,6.17065780,6.28312440,6.16166068,6.26782942,550093600,0.02113215,0.04067463,0.04187156,0.01254229,1.14578466,74.41696542,-0.00120490,-0.04266702,0.04146211,20.12559900,-0.00124619,0.01567695,0,0
2010-03-02,6.29601930,6.32301146,6.23033902,6.26362944,566546400,-0.00067031,0.03334851,0.05810786,0.01201641,0.96370544,72.19469232,0.01486016,-0.03116158,0.04602174,20.15506954,0.16572436,0.01481664,1,0
2010-03-03,6.26632870,6.29422021,6.23633777,6.27802467,372052800,0.00229559,0.02275742,0.04229991,0.01177939,0.87841490,75.43843803,0.02842573,-0.01924412,0.04766985,19.73454634,-2.18333094,0.01478935,1,1
2010-03-04,6.27652661,6.32571145,6.25703158,6.31941319,366041200,0.00657097,0.00819624,0.04221506,0.01181015,0.87681815,73.36939111,0.04203174,-0.00698895,0.04902069,19.71825645,-1.79106335,0.01576077,1,1
2010-03-05,6.44627478,6.58903221,6.43697735,6.56653881,899620400,0.03836052,0.04722708,0.06768891,0.01546943,1.30621892,78.75482630,0.07192645,0.00879413,0.06313232,20.61748345,2.66792029,0.01754654,0,0
2010-03-08,6.59833037,6.60072931,6.54554612,6.57043886,429889600,0.00059375,0.04552524,0.04715052,0.01490261,1.08936158,76.66651008,0.09483967,0.02600324,0.06883643,19.87903899,-0.88608885,0.02080627,1,1
2010-03-09,6.54734414,6.74798399,6.53474802,6.68860197,920259200,0.01782425,0.05677853,0.06564508,0.01197996,1.13294576,81.50194073,0.12113695,0.04502998,0.07610697,20.64016593,2.68669692,0.02626809,1,1
2010-03-10,6.71289603,6.76238118,6.69400163,6.74318647,596218000,0.00812770,0.02654571,0.07147720,0.01186476,1.04655368,82.28697774,0.14471407,0.06496680,0.07974727,20.20611693,0.60691694,0.03085466,1,0
2010-03-11,6.71529703,6.76298189,6.69760190,6.76298189,405700400,0.00293132,0.02888327,0.06783755,0.01208586,0.94113973,85.74863907,0.16311613,0.08459667,0.07851947,19.82112551,-1.23779977,0.03462123,1,1
2010-03-12,6.81906287,6.82985989,6.77047787,6.79597044,416323600,0.00486595,0.01592497,0.03434298,0.01221260,0.87002940,89.45153082,0.17830639,0.10333861,0.07496778,19.84697340,-0.89986508,0.03821490,0,0
2010-03-15,6.75938091,6.76297911,6.60552655,6.71319485,493502800,-0.01225488,-0.00445761,0.02149434,0.01339893,0.65281860,91.09869115,0.18157243,0.11898537,0.06258706,20.01703909,0.22685553,0.03948262,1,0
2010-03-16,6.72339229,6.74738487,6.67330730,6.73148966,446908000,0.00272150,-0.00466744,0.00639159,0.01322886,0.61310748,90.19924900,0.18352151,0.13189260,0.05162891,19.91786331,-0.11497703,0.04168251,0,0
2010-03-17,6.74498470,6.79147067,6.69609978,6.72159195,450956800,-0.00147144,-0.01100483,-0.00320756,0.01343616,0.53914209,88.69817473,0.18216759,0.14194760,0.04021999,19.92688211,-0.07791468,0.04335266,1,0
2010-03-18,6.72099337,6.74798593,6.67630728,6.73748922,342109600,0.00236231,0.00361237,-0.00377656,0.01351077,0.51051366,87.80654282,0.18029900,0.14961788,0.03068112,19.65064171,-1.67465769,0.04457210,0,0
2010-03-19,6.74168710,6.75518297,6.63491854,6.66550970,559445600,-0.01074091,-0.00985004,-0.01938343,0.00865839,0.35562497,77.03888467,0.17103836,0.15390198,0.01713638,20.14245685,0.95796598,0.04110756,1,1
2010-03-22,6.61212663,6.77797732,6.60252928,6.74048805,456419600,0.01118591,0.00280731,0.00405736,0.00916861,0.43505058,79.57577255,0.16781490,0.15668456,0.01113034,19.93892312,-0.27124788,0.03787229,1,1
2010-03-23,6.76717897,6.86135141,6.72099251,6.84875488,602431200,0.01593453,0.01637953,0.01727040,0.00883224,0.58378984,81.70597093,0.17201364,0.15975038,0.01226327,20.21648403,1.45632035,0.03286598,1,1
2010-03-24,6.82716005,6.90393726,6.82326073,6.87904453,597780400,0.00441290,0.03153334,0.02315474,0.00863900,0.60006066,81.47755986,0.17575925,0.16295215,0.01280710,20.20873402,1.00741634,0.02816883,0,0
2010-03-25,6.92553101,6.92703100,6.78547245,6.79746914,542284400,-0.01192941,0.00841802,0.00886302,0.00967592,0.40965682,65.96174729,0.17018346,0.16439841,0.00578505,20.11130115,0.49111589,0.02294205,1,1
2010-03-26,6.86644886,6.95642164,6.85445217,6.92493153,640875200,0.01857781,0.01106130,0.03818174,0.01121169,0.65904323,70.92762565,0.17404349,0.16632743,0.00771606,20.27834530,1.43442952,0.01881982,1,1
2010-03-29,6.98791129,7.01400288,6.94652351,6.96961594,540744400,0.00643196,0.01308036,0.03342779,0.01009581,0.71302044,68.16578719,0.17864889,0.16879172,0.00985717,20.10845727,0.30501021,0.01730805,1,1
