Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target,target_z
2019-02-20,40.86773012,41.37622047,40.81998539,41.06826019,104457600,0.00641467,0.00717545,0.00664906,0.00783841,0.40948415,70.56805960,0.97844781,1.03440389,-0.05595607,18.46429181,-0.00811074,0.02912176,0,0
2019-02-21,41.01335616,41.14942885,40.65526516,40.83669662,68998800,-0.00565446,0.00374832,0.00515803,0.00796837,0.30646606,64.82217856,0.93940684,1.01540448,-0.07599764,18.04959967,-2.19311393,0.02217667,1,1
2019-02-22,40.96082897,41.29982129,40.91308424,41.29265976,75652800,0.01110365,0.01186386,0.01262464,0.00599297,0.42527614,68.07179544,0.93448682,0.99922095,-0.06473413,18.14166501,-1.56794439,0.01745407,1,1
2019-02-25,41.57675869,41.98498044,41.52662434,41.59346771,87493600,0.00725837,0.01270756,0.02211034,0.00624742,0.49682991,61.34057653,0.94397875,0.98817251,-0.04419375,18.28707621,-0.72917387,0.01455101,0,0
2019-02-26,41.46931509,41.84889057,41.34040033,41.61732483,68280800,0.00057341,0.01893544,0.01969565,0.00563922,0.49795111,53.29912286,0.94256100,0.97905021,-0.03648921,18.03913917,-1.42360191,0.01185044,1,1
2019-02-27,41.34995041,41.77727060,41.23535870,41.74623489,111341600,0.00309272,0.01092451,0.01637370,0.00527507,0.71206906,54.89820549,0.94099220,0.97143861,-0.03044640,18.52811351,0.69963071,0.00800486,0,0
2019-02-28,41.61494264,41.75579087,41.28072225,41.33562851,112861600,-0.00988446,-0.00621832,0.01214370,0.00627052,0.38467776,61.79788390,0.89628461,0.95640781,-0.06012320,18.54167285,0.99720043,0.00720641,1,1
2019-03-01,41.60539248,41.81308406,41.27356169,41.77011490,103544800,0.01045633,0.00366459,0.01149637,0.00684539,0.72704322,66.19333563,0.88570311,0.94226687,-0.05656376,18.45551493,0.45004143,0.00692468,1,1
2019-03-04,41.94199685,42.43377447,41.53138563,41.98019409,109744800,0.00501681,0.00558867,0.00925481,0.00668121,0.92866838,72.96131096,0.88407773,0.93062904,-0.04655131,18.51366823,0.88396080,0.00714224,0,0
2019-03-05,42.00167238,42.01599543,41.66745205,41.90379333,78949600,-0.00182158,0.01365155,0.00685981,0.00686371,0.74848558,68.06846175,0.86663467,0.91783017,-0.05119549,18.18432023,-0.96728870,0.00834623,0,0
2019-03-06,41.69850066,41.89425882,41.52423074,41.66269302,83241600,-0.00577028,-0.00257505,-0.00200319,0.00719576,0.47947312,66.51473708,0.82385921,0.89903598,-0.07517676,18.23725778,-0.48792083,0.00947285,0,0
2019-03-07,41.50751329,41.64358960,41.06586999,41.18045807,99185600,-0.01164225,-0.01923411,-0.00376098,0.00804987,0.00865530,55.84583719,0.74248808,0.86772640,-0.12523832,18.41250340,0.75396316,0.01059927,1,0
2019-03-08,40.66002526,41.31652517,40.46426718,41.27832794,95997600,0.00237379,-0.01503874,-0.01184351,0.00724617,0.07728319,58.54478420,0.67808165,0.82979745,-0.15171580,18.37983375,0.60973606,0.00977404,1,1
2019-03-11,41.89424817,42.76082565,41.86082650,42.70830536,128044000,0.03405579,0.02478733,0.01719547,0.01295173,1.23121441,69.87527303,0.73396562,0.81063108,-0.07666546,18.66788451,2.63734154,0.00999566,1,1
2019-03-12,42.97091341,43.60831486,42.82051405,43.18815613,129870400,0.01117289,0.04760247,0.03018994,0.01319480,1.29737314,71.18325041,0.80766376,0.81003762,-0.00237385,18.68204759,2.39087434,0.01044651,1,0
2019-03-13,43.50803861,43.75870293,43.19053095,43.37912750,124130000,0.00441210,0.04964078,0.04037232,0.01319459,1.15667725,75.61325429,0.87143452,0.82231700,0.04911752,18.63683996,1.71714620,0.01123524,1,1
2019-03-14,43.90194948,43.94969785,43.58205577,43.86136627,94318000,0.01105550,0.02664049,0.06307007,0.01241352,1.18084767,75.74168221,0.94993567,0.84784073,0.10209494,18.36218261,-0.21493515,0.01336827,1,1
2019-03-15,44.12873429,44.72077686,43.86374690,44.43191528,156171600,0.01292413,0.02839173,0.07362041,0.01253739,1.19303913,76.98589207,1.04612783,0.88749815,0.15862967,18.86646596,3.00506914,0.01529763,1,1
2019-03-18,44.35553458,44.97383743,44.35314497,44.88550949,104879200,0.01015699,0.03413662,0.04972161,0.01258977,1.14599551,78.72437734,1.14575452,0.93914942,0.20660509,18.46831977,0.19966348,0.01713111,0,0
2019-03-19,44.96428582,45.11707114,44.38417662,44.52980042,126585600,-0.00795638,0.01512474,0.03059234,0.01318605,0.86969358,73.52705822,1.18237694,0.98779493,0.19458201,18.65642932,1.12376396,0.01886119,1,1
2019-03-20,44.45818447,45.23643780,44.10009351,44.91893005,124140800,0.00870067,0.01090129,0.03488092,0.01251841,0.88448728,80.39688655,1.22863701,1.03596334,0.19267367,18.63692696,1.00024862,0.02190692,1,1
2019-03-21,45.36295412,46.86932252,45.31281979,46.57329941,204136800,0.03616809,0.03691239,0.05999351,0.01347766,1.19578038,83.75832219,1.38285158,1.10534099,0.27751059,19.13430092,4.13212875,0.02765966,0,0
