Date,close,high,low,open,volume
2012-01-03,12.33321857,12.37130768,12.26633901,12.27833570,302220800
2012-01-04,12.39949512,12.43668487,12.27473275,12.29632599,260022000
2012-01-05,12.53715229,12.55274718,12.37639987,12.44478019,271269600
2012-01-06,12.66821480,12.67871150,12.57284351,12.58933856,318292800
2012-01-09,12.64812279,12.82866900,12.63672593,12.76118961,394024400
2012-01-10,12.69340992,12.77618550,12.64122511,12.77348584,258196400
2012-01-11,12.67271614,12.68171366,12.57554533,12.67661467,215084800
2012-01-12,12.63792419,12.68321050,12.55874764,12.66461643,212587200
2012-01-13,12.59054089,12.60973560,12.55605159,12.58724300,226021600
2012-01-17,12.73719406,12.77588299,12.68500926,12.72219820,242897200
2012-01-18,12.86945724,12.88025347,12.78518248,12.80497623,276791200
2012-01-19,12.82866669,12.93723353,12.79147775,12.90064522,261738400
2012-01-20,12.60523415,12.82116978,12.58873910,12.82087027,413974400
2012-01-23,12.81847095,12.84966235,12.66521683,12.67631337,306062400
2012-01-24,12.60853672,12.74919516,12.58274463,12.74919516,547638000
2012-01-25,13.39579964,13.62942921,13.30792587,13.62912969,958314000
2012-01-26,13.33491611,13.45967769,13.29022965,13.44678245,323985200
2012-01-27,13.41439629,13.45038557,13.30912810,13.32622219,299709200
2012-01-30,13.58624268,13.61293492,13.35771130,13.36730785,379341200
2012-01-31,13.69031239,13.74309623,13.58804258,13.66362014,391683600
2012-02-01,13.68161583,13.76559108,13.66242272,13.74819668,270046000
2012-02-02,13.64952374,13.71100478,13.61533396,13.67291648,186796400
2012-02-03,13.78628063,13.79587798,13.66271793,13.71490273,286599600
2012-02-06,13.91494370,13.94523494,13.74189662,13.74729433,249412800
2012-02-07,14.06070328,14.08829567,13.93324041,13.95333527,316223600
2012-02-08,14.29613209,14.29942998,14.08679380,14.11078719,407890000
2012-02-09,14.79067993,14.89804790,14.41249271,14.41849105,884214800
2012-02-10,14.79818249,14.92414457,14.65212555,14.72440523,631302000
2012-02-13,15.07349968,15.11038831,14.90824804,14.98142627,517216000
2012-02-14,15.27923870,15.28223707,15.05550597,15.13528158,460398400
2012-02-15,14.92564297,15.78398463,14.90224862,15.42319334,1506120000
2012-02-16,15.06180191,15.14217814,14.59454117,14.74059809,944552000
2012-02-17,15.05910015,15.22854979,15.00451601,15.08879076,535805200
2012-02-21,15.44089222,15.44089222,15.11908771,15.20186329,605595200
2012-02-22,15.38660336,15.46008108,15.26753820,15.38780302,483302400
2012-02-23,15.48707390,15.53026199,15.28043609,15.44778593,568027600
2012-02-24,15.66761971,15.68231525,15.55455449,15.58544477,415072000
2012-02-27,15.76808929,15.85026422,15.48377414,15.63462812,547582000
