model,roundtrip_bps,trades,exposure,turnover,CAGR,Sharpe,MaxDD,final_equity
Entry@t+1 (No-Overlap),5.0,215,0.3974121996303142,429.0,-0.03591919570769464,-0.22146049756428182,-0.22997844047594063,0.9244731887391523
Entry@t+1 (No-Overlap),10.0,215,0.3974121996303142,429.0,-0.08292534193459433,-0.5240214741787371,-0.2771291244138644,0.8304040128201343
Entry@t+1 (No-Overlap),15.0,215,0.3974121996303142,429.0,-0.1276504975717052,-0.826508756180137,-0.327386304268639,0.7458867581292945
Entry@t+1 (No-Overlap),25.0,215,0.3974121996303142,429.0,-0.21069316774953573,-1.4309178351596645,-0.41769279573530604,0.601734354419211
Entry@t+1 (No-Overlap),50.0,215,0.3974121996303142,429.0,-0.3854758166746133,-2.9346607523041075,-0.6524852611474837,0.35158481390713714
Entry@t+1 (No-Overlap),100.0,215,0.3974121996303142,429.0,-0.6278518559072521,-5.876204983211693,-0.8813042788650148,0.11978485194813804
