feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1098849418937014,0.4184238016605377,0.5321302816901409,0.5242321195068724,0.5169698748043818,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1098849418937014,0.4184238016605377,0.5321302816901409,0.5242321195068724,0.5169698748043818,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.0883971824327921,0.3670397400856018,0.5145792563600783,0.4966241378618842,0.4881604696673189,14
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,1,0.1098849418937014,0.4184238016605377,0.5321302816901409,0.5242321195068724,0.5169698748043818,25
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,2,0.0883971824327921,0.3670397400856018,0.5145792563600783,0.4966241378618842,0.4881604696673189,14
v2,mom+vol,11,60,32,16,0.1,0.0005,GRU,3,0.1295494706499297,0.5326228141784668,0.5152671755725191,0.5692465097815224,0.5136665845850776,7
