model,roundtrip_bps,trades,exposure,turnover,CAGR,Sharpe,MaxDD,final_equity
Entry@t+1 (No-Overlap),5.0,6,0.036585365853658534,12.0,-0.01676103411874974,-0.40706127439752793,-0.03386388406159002,0.9890598598739093
Entry@t+1 (No-Overlap),10.0,6,0.036585365853658534,12.0,-0.021285690839358273,-0.5167963582498316,-0.035071493674994736,0.986095424606066
Entry@t+1 (No-Overlap),15.0,6,0.036585365853658534,12.0,-0.025790650342523924,-0.6256098504339533,-0.03627789543732873,0.9831391360306733
Entry@t+1 (No-Overlap),25.0,6,0.036585365853658534,12.0,-0.0347418007895558,-0.8397376432863256,-0.03894181850278555,0.9772509175707673
Entry@t+1 (No-Overlap),50.0,6,0.036585365853658534,12.0,-0.05678059713641781,-1.3472408888533023,-0.0461376689527615,0.9626715190728844
Entry@t+1 (No-Overlap),100.0,6,0.036585365853658534,12.0,-0.09943843702956923,-2.2009037526570694,-0.06589087632200263,0.9341091236779974
